Proteina A,Proteina B
Q9UIL1,Q9N3C8
P46934,Q9Y5X1
P27882,P36046
O08715,P31324
Q64092,Q03141
P68400,P19784
P06730,Q9UKV8
P70371,Q3UES3
Q6NXK8,Q62108
Q9UJW0,Q04656
Q8N668,Q762B6
P69908,P62199
Q8NHR9,P60709
P35548,P29590
P17560,P00797
P09712,P11021
P09731,P11021
P09729,P11021
P09728,P11021
O55055,Q9UJW3
Q9UBB5,Q9UJW3
O95983,Q9UJW3
Q8UVW8,P51167
P09866,Q4GWZ2
P02730,P16157
P01186,P30560
P17141,P25976
P63244,Q07343
P15208,P05017
P51677,P13236
P34932,Q07812
P03682,C6EGH1
P51140,P07207
P97471,P70323
P97454,P70323
O35182,P70323
P46630,Q9DVL1
P04233,P46531
Q06481,P04233
Q99497,Q9UBK2
P63104,Q12824
P16333,Q7L0Q8
Q8CGY6,P02609
Q96QF0,O60224
Q9Y2D8,P0C7X2
Q60972,Q01147
P41587,O60896
Q60954,Q789F3
P01100,P49736
P14921,Q92793
Q8IYS3,Q92793
O34580,P37455
P54394,P37455
P22303,P02866
P61073,P55209
P00915,P02730
P21803,P15655
B7SGZ7,P05549
P06400,Q15796
Q08999,Q8TAK5
P04406,B1P6E5
P0AG86,P02925
P70188,Q03059
Q8TCT9,Q9Y6X1
P31786,P06537
P24394,P35225
Q8WXW3,P24394
Q8CF89,Q62312
P49848,Q15545
P54921,Q62768
P61588,P70336
O15197,Q5JZY3
Q6DQH2,P25446
P20023,O00459
O35657,P01132
Q01831,P0A9H1
P09471,O00167
Q0VC48,P48616
P20942,Q32L40
Q8AZK7,P12978
Q8N6C5,P09529
Q86XR8,P05230
P15172,Q01105
P19838,Q01105
P04637,A0A0S2Z3Z2
Q68396,O95150
P06729,P06241
Q13347,P36897
P0A6A8,P0AG20
P11084,P30154
Q922H7,O35253
Q15628,O14763
Q13546,O43464
P49597,Q38898
P36871,P25815
P18627,P04578
Q9Y4K3,P25942
Q8W420,Q6R0H1
P21183,P04401
P27699,Q8R4I4
P03255,P04637
B7Z018,Q02870
B9EKI3,P42224
P01344,P08069
I0LJR4,I0LL25
Q8K094,Q9QZQ1
Q14186,Q2Z196
P10745,P62157
P09382,P35916
P62826,Q7L099
P61019,Q7L099
P51149,Q7L099
O00212,Q7L099
P01116,Q7L099
Q07832,Q61037
Q9P0N9,P49815
P31946,Q92574
P62258,Q01814
Q04917,Q92574
O14640,P49841
P31749,P31946
Q12778,Q92574
Q15751,Q92574
P46527,Q92574
P63330,Q9EP53
P98066,P12645
Q08117,O15379
O60716,Q9UBT7
O26901,P0AGE0
P40933,P01589
P00973,Q9UIS9
P07911,P01375
O24456,P49177
Q9H2X6,Q00987
P51680,P14097
Q9H204,P26038
Q07436,P46150
P05121,P02751
Q8R0L9,P03372
P32494,P10276
O75528,P28702
Q86UR1,Q15080
Q9CZA6,P15331
Q9YP87,P43488
P06750,P97797
Q8CJ26,P01139
P59190,Q9UJ41
Q10282,P27584
Q03405,P27701
Q02040,P26368
P09951,P19491
O60832,O15360
G5DGD4,O24017
Q9SYV0,O24017
K4CRX6,O24017
P30533,P05067
O35718,P05532
P11473,Q96RL1
P15207,Q96RL1
P37231,Q96RL1
P19793,Q92786
Q13133,Q96RL1
P13631,Q96RL1
P51449,Q96RL1
Q9NV88,Q10570
Q5TA45,Q10570
P19784,Q13526
P97946,P35918
Q8K4N8,P70196
P22897,P02769
Q9NNX6,P02769
Q9UI95,Q9Y6D9
Q99650,P15018
P13725,P42702
O08674,P12978
P55072,P13569
P01857,P26151
C9WF17,Q26807
P46662,Q61391
Q92990,P06213
A1X4Q1,Q15599
Q6H3X3,P16757
P03495,P05161
Q80X44,O08734
P56546,P30658
Q96EV8,A0A0S2Z3Z2
Q9BQY9,P48729
Q07326,P35968
P10242,P04637
P06876,P02340
Q07325,Q16570
P02778,Q16570
P27918,P08174
P0A9H1,Q01831
Q15910,P35226
P25697,Q9LZP9
P24786,P21237
P60891,Q92793
P11632,Q02821
G0TQZ9,Q9U6W1
P07620,P0AC30
P07621,P0AC30
Q8IUC6,O00206
P70434,B2RWS6
P70671,B2RWS6
B2ZZS9,H2LUV9
P19492,Q9QUL6
P49765,P35916
Q13077,P0C7X2
Q9BUZ4,A0A0S2Z6P0
O00463,Q8TDR0
Q9NRA1,P17948
P21109,P02776
P19934,C4ZQ83
P05943,P35213
Q9EQW6,Q99MA9
P42586,Q62414
P36894,P22004
O00238,P22004
P12830,P35221
P63329,P62161
P02788,Q9NNX6
P00709,Q9NNX6
P61626,Q9NNX6
P05814,Q9NNX6
P03973,Q9NNX6
P20917,Q8K0S5
Q13330,Q00688
P04163,P02540
Q68CL8,P04049
Q9JMB0,Q61410
O88346,P0C605
O75531,O43186
Q15406,P48552
O04291,Q64701
Q9JHR9,P03372
Q12962,Q16514
P12962,O00268
Q12942,Q15543
Q62009,Q08024
P49763,P35916
P13213,P03969
P10909,Q504U8
P50570,P52735
Q62424,P97471
P70217,Q60954
P01286,P20396
P03393,P14753
P29965,P04003
P62160,P02710
Q8WXF8,Q92851
P14151,O35988
Q8N5F7,Q13546
P49459,Q9NW38
C7GKY3,C7GP96
C7GX20,C7GP96
Q24468,P21274
P0AFS3,P0A6F5
Q14696,O94907
P03169,P63165
Q96RJ3,O75888
P04275,P00451
P35222,P62136
Q96RE7,Q05516
A4IFA9,Q07731
P07949,Q07731
Q9VZ23,P20153
P20153,Q9TVM2
P00772,P22298
Q61635,Q9QZ85
Q9FK13,Q9FIG9
Q8VY16,O82533
Q04047,Q08473
Q80WE1,D3ZWB1
Q505F1,Q60953
Q62824,P28494
P16778,P21796
Q05519,Q8WU68
O30916,P55072
P0CL52,P55072
Q8T3B2,Q20024
P0C8E7,P10145
P16054,Q91YM2
Q9LZP8,Q01593
Q9UPT6,P05067
P19366,Q9LHE5
Q9SRH5,Q9LHE5
Q66100,Q9LHE5
Q15942,P56597
P63006,P19544
Q13873,P12643
P01583,P00533
P01375,P00533
Q61730,P01582
P15509,P08700
P04141,Q6NSJ8
O70355,Q7TSA3
P09693,P43403
P04234,P43403
P07766,P43403
O75888,Q96RJ3
P06493,P24864
P54826,P55957
P25205,P42224
Q04771,P07200
Q6EMB2,P10276
P13808,Q02357
P30154,Q15173
P30117,Q92985
Q9J2K2,Q92985
Q9UBW7,Q9UKL0
O60341,Q9UKL0
Q13547,Q96QT6
Q76RI8,Q16611
P31016,P41350
Q62227,Q60974
P32927,P04141
P09056,P42702
P25311,P61769
Q60841,O88689
P01140,P00756
Q62108,Q9JIA1
Q62106,P23818
P01582,Q61730
P16471,P67930
F1NVD2,P01344
A6NIX2,O60663
O00311,P49736
O00623,O75192
O00628,P56589
O08599,P70452
O14775,Q6Y2X3
O15105,P31269
O15116,O95777
O15169,Q99717
O43172,Q6P2Q9
O75400,P55854
P05627,P08553
Q00262,Q99N48
Q09028,Q9Y618
Q06330,Q06587
Q6FHM7,Q9UBD5
P18847,P31150
P17036,Q92730
P42285,Q9NQT4
P40616,Q8IWJ2
Q15024,Q9Y2L1
P17679,Q924H2
P48995,Q9UBN4
Q8BPB5,Q9QZJ6
Q8TEQ6,Q8WXD5
Q06265,Q06265
Q9NP66,A0A0S2Z5B8
Q02535,Q16828
Q13416,Q9UBD5
Q8TDR0,Q9Y4K3
O15530,P56279
P24385,P49736
P41240,Q92730
Q6P2Q9,Q8WWY3
Q80T23,Q9R0M6
Q04724,Q9BQ87
P56524,Q969S8
P70452,Q549X6
Q8K0S5,Q99P72
Q9H2S9,Q9H9D4
Q92785,Q9UHR5
Q9NQX6,Q9UHX1
Q93096,Q9H2S9
P62821,Q91V27
P70196,Q8BFW7
Q14192,E9PJI6
Q5RKV6,Q9Y2L1
P10415,Q07820
P40424,Q9BQG0
Q13242,Q16629
Q16891,Q8NI70
Q5SNZ0,Q6Q7Y5
Q64704,Q99N48
O43395,Q8WWY3
O75175,P41240
P62158,Q14318
P02554,Q8HY58
O95271,P70371
P02545,Q9D666
P27348,Q01814
P62879,Q8TBX8
O75192,O75192
P20338,Q6WKZ4
P26038,Q92558
Q8NI70,Q9H213
P31150,Q92730
P51150,Q91V27
Q64729,Q8CIN4
Q9NPD3,Q9NQT4
O94906,Q53GS9
P62312,P62312
P97503,Q60974
Q8TAU0,Q9NQX6
Q1M168,Q8CFN2
Q68DY1,Q92785
Q16526,Q9Y297
Q71VB4,Q7TPV4
O43543,Q9BXW9
O60907,P09874
P25963,Q9H6S3
P27601,Q76MZ3
P35279,Q91V27
Q12873,Q9P2H0
P21246,Q16891
P61027,Q99N48
P06685,Q01728
P35285,Q80T23
Q7L311,Q9UKY1
Q8WYQ5,Q9HAV4
P28574,Q3UPW8
Q08499,Q14396
Q16828,Q9NQX6
O88895,P97503
P07196,Q5T3J3
P18206,Q9HBI1
Q13868,Q9NQT4
Q70SY1,Q70SY1
Q96B26,P28702
P08069,P08133
P31273,Q15796
P51693,Q8NI70
Q8WWY3,Q8WWY3
P45983,Q49A26
Q9Y3B2,Q9Y3B2
P56589,Q9Y5Y5
Q9WVB9,Q9Z136
Q9Y2L1,Q9Y3B2
O60566,P08700
Q8TBX8,Q9NQX6
Q92730,Q92785
O43290,O43447
Q9Y333,Q9Y333
P18901,Q9QUL6
Q01728,Q3T1J5
O14893,Q8TEQ6
P27361,Q49A26
P49185,Q4G050
Q49AN0,Q9UK97
Q16637,Q8WXD5
Q5T3J3,Q9UKY1
Q13642,Q14192
Q7TMS5,Q9DBM0
Q548T0,Q99N50
Q03167,Q15942
Q15038,Q93062
O55003,Q99JI6
P32851,P47709
P62492,Q91V27
P37840,P43004
P04150,Q92786
P15205,P18508
Q8WTW3,Q96MW5
Q15645,Q9NRD0
Q9H6S3,Q9H6S3
O95777,Q9Y4Y9
P05696,Q62132
Q9H213,Q9UKY1
P26641,P55854
P47709,P61765
P70644,Q9R0T4
Q01780,Q9NPD3
Q549X6,Q60770
O00716,Q8TAK5
O35551,Q3UMR0
O43447,Q6P2Q9
O43541,Q9UPN9
O60683,Q9Y5Y5
P01108,Q3UPW8
P02765,P07384
Q15329,Q8TAK5
Q62312,Q8CIN4
Q16539,Q9HBH9
P08621,Q02040
P55258,Q91V27
P97428,Q9Z0G0
Q9Y5Y5,Q9Y5Y5
P10828,Q92786
Q60770,Q8K1E0
P14373,P0C7X2
P67775,Q92572
O75190,P13647
O96011,Q9Y5Y5
P01236,P62937
P36915,Q8TBX8
P63011,Q99N48
Q13541,Q8WVB6
P17918,Q9ESU6
P35590,Q9Y5C1
Q7M6Z0,Q9ES97
Q9NQT5,Q9NQT5
O75643,Q15029
Q01130,Q02040
P49736,Q9Y5N6
O95361,Q9ULZ3
Q32MZ4,Q9UJU2
Q96MW5,Q9H9E3
Q91V27,Q9WTL2
P07437,P09874
P18848,A0A0S2Z4Q5
O08915,P53762
O70622,Q8K0S5
O43739,P10276
Q14565,Q9BXW9
O88777,Q99569
Q15554,Q9NUX5
Q8N2W9,Q6Q0C0
P21917,Q53G59
Q16254,Q8TAK5
Q99547,Q9NQT4
P37397,P62161
O35984,Q7TPV4
O54880,P60881
P35609,Q9Y561
Q9UBD5,Q9UBD5
P19632,Q58DJ8
P60881,Q8VHQ7
O14776,Q9H213
P03995,P05627
Q60855,Q61160
Q8WVF5,Q8WVF5
Q15029,Q6P2Q9
P54619,Q9Y478
P22561,Q62523
P42229,Q8TAE8
P08107,P20700
P10827,Q92786
Q8IUI8,Q96PK6
O00626,P51679
O75381,P28328
P28651,Q9ERP3
P35439,Q8K430
O60936,Q13247
P23297,A8MRB1
O60583,P28799
P02794,P51116
P15655,P18653
Q14209,Q8TAK5
Q53GS9,Q53GS9
P42225,Q2EMV9
P30260,P50750
P51141,Q9WV60
P13264,P62630
P38936,P49736
P21707,P47709
Q00960,Q8K430
Q9P2H0,Q9P2H0
O15315,Q9BXW9
O43542,O43543
P05712,Q9WUD9
P08588,P24588
P49023,Q9HBI1
P63167,Q7LDG7
Q6R0H7,Q76MZ3
Q92844,Q9BYM8
P54256,P54258
P28328,P56589
Q07699,Q9NY72
Q06609,Q9BXW9
P43004,Q9UJV9
P37889,P55002
P14619,Q5VSY0
Q3UPW8,Q80US8
Q96Q05,Q9Y6K9
P40692,P54278
P42771,Q9UBD5
Q02763,Q9Y5C1
Q63912,Q8K0S5
P55854,Q16891
P34925,P55196
P08752,Q76MZ3
P55002,Q9WVH9
P33991,P49736
Q62915,Q8VHK1
Q8NAP8,Q8NAP8
O43502,Q9BXW9
Q14746,Q96MW5
O15304,Q9UBY5
O75446,Q96QT6
P01112,P06241
P09803,Q8BN78
P35292,Q80T23
Q92698,Q9BXW9
Q92968,Q9Y5Y5
P18576,P63140
P35241,Q14185
P97287,Q07813
P17706,P31946
Q9H9E3,Q9Y2V7
P62988,Q15276
Q13309,Q16526
O75376,Q15466
O75410,Q92831
O15492,P35368
P25206,Q7L590
P53994,Q80T23
O08584,P11103
P12004,P38936
P83876,Q53GS9
O75419,P49736
P83436,Q8WTW3
P98170,Q13077
O75558,Q13642
Q96JB2,Q9H9E3
P23769,Q04724
Q01279,Q9QUQ5
O35717,P05532
P28069,Q04724
P60228,Q8IUI8
Q6Y2X3,Q9HAV0
Q60749,Q96PV0
Q01844,Q96G75
Q13671,Q9BR65
Q13415,Q9UBD5
Q9QZJ6,Q9WVJ9
Q15466,Q92786
Q6ZVM7,Q7Z3T8
Q9H9D4,Q9UH92
Q01094,Q06546
P35288,Q91V27
P62880,P63213
P63146,P63165
P15385,P97879
P42226,Q08211
Q9UH92,Q9UHX1
O35625,P70339
P62873,Q6Y2X3
Q9UKY1,Q9UKY1
P06241,P22681
P54274,Q15554
P05112,P78552
P62500,Q00322
Q9UHX1,Q9UHX1
P33993,Q9UBD5
Q00526,Q9UBD5
P63101,Q61097
Q15750,Q9BYM8
P07948,P17252
O75360,Q04724
P15559,Q00987
O15350,Q76N89
P17948,P24666
P29351,Q8C180
Q9Y4Y9,Q9Y4Z0
Q9NQT4,Q9Y2L1
P19012,P0C7X2
Q02248,Q8BN78
Q92786,Q9Y618
P15337,P60042
P45973,Q13263
P78352,Q05586
Q13185,Q13263
Q13976,Q9Y6F6
P51965,P63165
Q86T24,Q9P1Z0
Q9UDV6,Q9UH92
P35293,Q91V27
P12755,Q13485
P26450,P97465
Q9UK45,Q9Y333
P51111,P62161
O96020,P49736
Q07820,Q92843
Q64289,Q9WTV5
Q8K0T0,Q99PI8
P49768,Q96IZ0
O15111,Q96Q05
O43194,Q9UBU3
O43623,Q13363
O75674,Q7Z3T8
P15514,Q969F2
P16086,Q01728
P01135,Q969G9
P50540,Q3UPW8
P53566,Q6PDY0
P79348,Q9Z0G0
Q16665,Q9Y6K9
Q64343,Q9DBM0
P37275,Q13547
P43351,Q9BXW9
P78347,Q13976
P35295,Q91V27
Q8CIN4,Q8CIN4
P35221,Q9UBT7
O43353,Q5XLA6
P82471,Q5SNZ0
O75496,P49736
P09631,Q60954
P56371,Q91V27
P35606,Q08499
P10166,Q3UPW8
P23634,P63104
P43146,Q6ZVN8
P04049,P05783
P35367,Q9UBB6
O75414,P04637
P42224,Q8TAE8
P25100,P41220
Q61146,Q8VHG2
P47708,P61027
P39429,Q9D8D0
O70373,P26039
P13569,P35523
P10636,P49841
Q9Y4Z0,Q9Y4Z0
P17980,Q16143
P35368,P41220
P00533,Q96B97
P27815,P63244
P19491,Q8K430
P49717,Q7L590
O08849,Q9Z0G0
O43559,P61587
O60784,O95405
P63095,Q78NN4
Q61881,Q7L590
P02340,Q6I6G8
P32321,Q8TBB1
P84103,Q02040
P05771,P06241
P54645,P80385
O35430,Q8VHK2
P39447,Q8VHG2
Q08879,Q9QZJ6
P28033,P62500
P31269,Q15796
P28482,Q8TAX0
Q96AP0,Q9NYB0
P24941,Q9UBD5
P51572,Q07812
Q66H76,Q9Z1P2
Q15796,Q9UPN9
Q15311,Q16046
P46108,Q9H2B2
P28360,Q04724
Q96I24,Q9UHX1
O70433,Q62219
P06703,P23297
O75771,Q9BXW9
P31311,Q60954
Q07021,Q13952
Q12933,P0C7X2
P35240,Q92558
P51116,A0A0S2Z3Z2
O95819,P62834
P18113,P63059
P35396,Q6PDY0
Q9BSI4,Q9NYB0
Q5YLB2,Q99728
O08983,Q99KG7
O60885,P12004
P03966,Q3UPW8
Q9NZM6,Q9Y3M2
P24666,P35590
Q13075,Q9NR28
Q99459,Q9UBD5
P62259,Q61097
P28749,Q13547
O54968,Q05343
Q6Y5D8,Q29502
O43929,P49736
P06753,P60981
Q969S8,Q9UBN7
P50538,Q3UPW8
P31750,Q155Q3
P51587,Q06609
P51843,Q92786
P25208,P56524
Q9ERP3,Q9JK37
P83916,Q13263
P49799,Q9Z0G0
Q9UHR5,Q9UHR5
P11505,Q01728
P06239,P23470
P61587,Q8WU20
P40425,Q9BQG0
P63059,Q63158
Q6TDP3,Q9WTX6
O55131,P42208
O88974,P37238
Q64008,Q91V27
P63096,Q6Y2X3
P11802,Q9UBD5
P16520,Q6Y2X3
P63239,Q58A65
P19490,Q62936
Q9Y2I6,Q9Y6D9
P21127,Q13153
P63102,P53668
Q13526,P04637
Q61686,Q61686
O54864,Q61686
P60953,P19878
Q9Y561,O95295
P05107,Q9UBP9
P05556,Q9UBP9
P98083,P05107
Q12929,P26010
Q7Z6G8,P05107
O14924,P05556
Q9QZS3,P05107
Q9UQF2,P26010
B2RU80,P35222
P20701,Q96S59
P97814,P70315
P25604,P36095
Q9P7F7,P25604
P02299,P20659
P42124,P02299
P20659,P02299
P19174,Q7L0Q8
P04050,P38827
P38827,P32585
Q9P0K1,Q9NYB9
Q9NYB9,Q61072
Q9UKF5,Q9NYB9
Q96LW7,O95999
P62834,Q9Z0S9
P40450,P41832
P23201,P41832
Q9Y5B0,Q99873
P39743,P39940
P52734,Q60598
P27986,P43405
Q96SB4,O88453
P38919,Q9Y5S9
Q86UW9,Q9NRR5
Q8N1L9,P54253
P54253,P51448
P38432,Q96HA8
Q16594,P38432
Q9Y3Q8,P04156
Q15366,Q96PU8
O60684,Q16594
Q7Z3S9,P0C7X2
Q96RK0,Q9BYW2
Q9Y738,Q10173
Q40687,Q0DJ33
Q92466,Q01094
P32468,Q12280
P21333,P05556
Q90998,P01137
P12815,Q61187
Q9NVV9,Q8WVV9
P61289,Q9NUQ8
Q99750,P0C7X2
P50221,P52756
Q9HAQ2,Q8NC06
O43186,P0C7X2
Q9Y4X0,Q6FHY5
P31323,A0A0S2Z5A1
Q9NPC6,A0A0S2Z3G1
P36406,P0C7X2
Q5VSY0,A0A0S2Z3Z2
Q53EZ4,A0A0S2Z543
P41212,O15169
P11142,A0A0S2Z3F5
Q96LI6,A0A0S2Z5G4
Q5TD97,P0C7X2
Q9H2G9,P0C7X2
Q8TAP6,P56597
Q6P1W5,E9PJI6
Q8NF64,E9PJI6
Q9HAN9,E9PJI6
O60479,E9PJI6
Q08050,E9PJI6
O94842,E9PJI6
P86478,E9PJI6
O14627,E9PJI6
Q02446,E9PJI6
Q9C026,A0A0S2Z4Q5
O00444,B7Z3H4
O76003,A0A0S2Z341
Q96IJ6,P0C7X2
Q96BA8,P60201
Q9BRI3,P05155
O43765,A0A0S2Z5R8
Q9UMX0,Q9BT78
P42575,A0A0S2Z3I0
Q13643,A0A0S2Z6M9
Q86VP1,A0A0S2Z604
Q6PIL6,A0A0S2Z3K0
Q8N6Y0,P0C7X2
Q8ND30,P46108
P41970,P46108
Q969F0,A0A0S2Z4S0
Q08379,P0C7X2
O00471,A0A0S2Z5X9
Q9UPQ8,Q9UMX0
P22001,A0A0S2Z5Y1
Q8IZU0,Q8WVV9
Q8NF50,Q9BSJ6
Q969L2,P04271
Q6A162,P0C7X2
Q7L4P6,P0C7X2
Q96R06,P0C7X2
Q8NHQ1,P0C7X2
Q6NUQ1,P0C7X2
Q8N1B4,A0A0S2Z4F2
O95273,A0A0S2Z4H0
P43365,A0A0S2Z5A4
Q96D09,A0A0S2Z6P0
Q96EA4,A0A0S2Z5X9
P13646,P0C7X2
Q9UNE7,A0A0S2Z5X9
O75478,A0A0S2Z6P0
Q15654,A0A0S2Z6P0
Q15323,P0C7X2
P49407,A0A0S2Z594
Q14749,A0A0S2Z594
Q9BYM8,O14964
Q5VWX1,P0C7X2
O95751,A0A0S2Z6P0
Q14525,A0A0S2Z4Q4
Q9Y577,A0A0S2Z4Q4
Q8ND90,A0A0S2Z6P0
Q13838,Q8WVV9
O00148,Q8WVV9
Q13137,P0C7X2
Q5JST6,A0A0S2Z5U3
O14503,Q8WVV9
Q99836,F8VVZ1
P20393,P49441
Q9Y5V3,A0A0S2Z6P0
O43597,Q8WVV9
P61978,A0A0S2Z6P0
I6L996,A0A0S2Z3Y4
P23771,A0A0S2Z3Y4
Q12800,P28702
Q6UX01,P43364
Q9NQM4,P33993
P43360,P33993
Q8N0S2,A0A0S2Z466
Q03426,F5H8H2
Q9HB07,A0A0S2Z3Z2
I6L9F6,A0A0S2Z3Y6
A6PVS8,E7ERP6
Q13094,E7ERP6
P48023,P16333
O60504,P16333
A0A0C3SFZ9,P0C7X2
B7ZLH0,P16333
P12814,Q9UBF9
Q8WVE0,A0A0S2Z442
Q9Y2K1,A0A0S2Z3Y6
Q9H000,A0A0S2Z3Y6
Q9Y6B2,A0A0S2Z3Z2
Q7Z4N8,A0A0S2Z3Z2
Q9UBB9,P28702
Q9UJW9,Q99608
Q9BQQ3,I6L9F6
Q96AQ9,A0A0S2Z3Z2
Q8N344,A0A0S2Z3Z2
P17661,I6L9F6
P63098,Q08209
Q9NWT1,P31323
P0C7W6,A0A0S2Z4F2
Q63HR2,P0C7X2
O43865,Q9Y252
Q9UL42,P0C7X2
Q8TD10,P0C7X2
Q05BL1,P28702
Q96S82,P28702
O43586,P0C7X2
O94972,P28702
O15162,P0C7X2
Q96B96,P04271
P29034,A8MRB1
Q00013,O75494
P26371,D3DPN2
Q9BYR5,P0C7X2
Q9BYR9,D3DPN2
Q9UI14,P04271
P04271,A8MRB1
Q15025,A0A0S2Z589
Q9H9C1,A0A0S2Z589
Q9BQY4,A0A0S2Z564
O75525,P0C7X2
O15151,Q969J2
Q6P088,Q969J2
Q6NT76,P0C7X2
Q13064,P0C7X2
P25788,P0C7X2
Q9C0F1,P0C7X2
O00308,P0C7X2
Q96KQ7,P0C7X2
Q8IYA8,P0C7X2
Q8HWS3,P0C7X2
A2RRN7,P0C7X2
P60411,P0C7X2
P59991,P0C7X2
P61457,P0C7X2
Q9NQZ6,P0C7X2
Q9P209,P0C7X2
