Proteina A,Proteina B
Q7SIA8,Q4JC68
P39045,Q9Y253
P11941,P23458
P0AA25,Q9Y233
P23847,P9WNS1
Q12778,P06873
P49687,P21673
P21524,P0A7Y4
P34913,P10635
P52061,P17297
P35557,P00175
P37698,P26492
P62152,O96017
P11172,P00438
P18031,Q5VST9
Q9H2K2,P00592
O29537,P03367
Q9NP87,Q14145
Q9I8X1,P25293
P00489,P09651
Q86VQ6,P56817
P11838,Q10471
Q8G907,O95150
P0A434,O95271
O14965,P28482
P07900,P00811
Q9NZQ7,Q195N6
P46881,P01543
P10721,P48736
Q8KES1,P00469
P24735,P01863
P03303,P00698
O14757,P00720
P07858,P40409
P00433,P03311
O74036,Q9H3R0
P11978,O75460
P9WM67,P11086
Q04830,P00720
Q13526,P61823
P06875,Q47112
P14900,P00374
Q9SR19,P0A0C1
P0AEX9,A0QWG5
P04191,P59595
P01034,P44801
Q16539,P04850
P42212,P04825
P01116,P00918
P26281,P29317
P60022,P09866
P27986,P9WME9
P00918,P0A881
Q7Z1V1,P49610
P9WP53,P00760
P41182,P94388
P70158,Q96CS7
P0A7Y4,P12528
P07798,Q03034
O14607,P86993
P00720,Q2FVP8
P09155,P13423
P0A2M9,P06873
P00760,P50049
P13835,P00524
Q71RI9,P0A6H5
Q99JR6,P00183
P10186,O28889
Q9KVG7,Q05097
Q6PJP8,Q68GV9
P9WIV3,Q96BM9
P25335,P37173
P00448,P15121
P29475,P12497
P11838,Q9I2Y2
Q53WG9,Q62230
P41043,O22476
P00742,P22498
P0AEX9,P03366
P00441,Q8DLC2
Q9WYT0,Q08499
P22748,P00374
Q41931,P39315
P51157,Q6GGU4
P08200,O94972
A8QL58,P9WKD3
P0ABE7,O58456
Q9Y4P1,O57385
P14779,Q16539
P14735,P45452
O00625,Q183R7
P36037,P08037
P00698,P37173
P00509,O24146
Q16539,P24627
P02766,I2DBY1
P02794,Q6PJP8
P00808,P03176
P09331,Q07820
O75891,P29475
Q3TBT3,P01008
P78417,P00533
P0C6X1,P00805
P23921,P19321
Q7SIG4,P00698
Q8N9L9,Q9UKK9
Q00511,P00533
Q6J8I9,O00244
O31466,P19491
P46881,P9WNG3
P00749,P06746
P33334,S5N020
P49902,Q8U1S4
O57767,Q94FV7
P00371,P12499
P11124,O95696
P49913,P24941
P00327,Q16875
Q9F1Y6,P0A6C8
P61626,P06533
Q53239,P52839
O14733,D7UER1
P12904,Q6PW77
O57770,O30917
Q3U4G3,P11766
O43924,P33981
P00918,P11838
P52895,Q06190
P27487,Q04609
O59945,O88689
Q06609,P56689
P46882,P04825
Q14790,P02931
Q07794,Q13526
P06746,P04637
P05067,O14965
P11838,Q9UIF8
P03728,Q99418
Q00496,Q6GJI9
Q9NZ45,Q9L9D7
P02213,Q08499
Q57587,P56216
Q13093,Q92793
P97479,Q9UNA4
P02945,P00491
D3ZMK9,P61812
P10807,P23367
P0A884,P0A3E0
P03438,P07102
Q24451,P95649
P56734,Q96LB9
P37744,Q8BJ34
P32445,P24941
Q6PHR2,P44490
A2QHE5,P02931
Q24451,P00651
P75170,A0A452E9Y6
P29600,O95696
Q9Y606,O11457
P01556,Q8TTZ5
Q9HXM1,P00742
P9WI81,O60885
Q8EJW4,P42321
P32125,P0A6L4
O29917,P29401
P37231,P48736
Q9JMA2,P18031
P05230,P37344
P37690,P07850
G0S7B6,Q07820
P29373,Q9YAX2
P06181,P9WQN5
O95696,P50870
P75906,P04035
P20917,C0HJT5
Q14185,P22629
O15294,P54820
P0AAC0,P12931
P17906,P83040
P08581,P0CI79
P33590,P11064
Q06124,P01730
P01837,P00514
P15121,P25321
Q7SIC2,P02766
O75469,P06129
P41541,F9UST4
P34913,P68802
P00761,P0C0U4
Q54727,P02701
P06746,P00974
O95696,P68135
Q8WYA6,Q9ERK0
P42212,Q8NBZ7
P25440,Q9X6J6
P39476,O34757
P15057,O66692
Q9D8T2,Q27084
Q8U1N9,P32169
P26949,Q9YGB4
Q47083,P53779
P38830,P63279
E8ME30,P00489
Q13546,P22629
P9WJK3,P00644
P97852,P00523
P25054,P29274
Q91ZW2,Q7NDN8
Q5SSZ7,Q51883
P84751,A0QV09
P27487,P00760
P15692,Q6F3I7
O15178,P37792
P04156,P00698
P05327,P03950
P0ABQ4,P28845
P11124,Q9UKK9
P42260,P06229
Q9NZN8,P35968
P11353,Q9UIF8
Q16831,P00698
P40037,Q9P9H1
P19491,Q9Y6D9
Q9KEI9,D2PPM8
P35164,O15091
O95696,Q9FEW9
P0AAV8,Q5SHB1
P16113,P02185
P24627,P61960
Q75I93,P24758
O85465,P02945
P11838,P06746
P03314,P06746
P02185,Q8N6T7
P13686,P02778
P00183,P00590
P07342,Q07817
G0S7B6,P0ADC1
P23687,Q9QXS1
Q9NX01,P69543
P15034,P0A434
P56653,P25440
P00760,P80725
P00448,P71447
Q9H1D0,P22557
P53582,P35225
Q01469,O35904
Q9NX74,Q9HZK0
P02185,Q96AZ6
P08149,P10275
P00918,P38501
P01308,O95696
Q8WXE0,O00478
O33599,O91464
Q16539,P04190
P63590,P03069
P09601,P07445
P15636,Q5SJP8
P42212,P11838
O15530,Q48245
P14324,P28720
P9WHR3,P07359
Q6PJP8,P00742
P00446,P84152
P02743,P63086
B8XA40,P02753
O75164,P00918
P42212,O00571
Q9UNA4,P09838
P29466,Q84FH6
P04585,Q9UK55
P04062,P00889
P00957,P26663
Q46927,P00800
Q13627,Q8Y9N5
Q9H2K2,P42212
P11124,Q02724
P61823,P0CG47
P09382,P11444
Q6CXP4,P61626
P22346,P43405
Q9Y4W6,P30419
P61823,P02788
Q9NL89,Q9PIG7
P02766,Q83WF2
P23458,P46881
P00918,P22734
Q9A1B7,Q57733
P03366,O95696
P9WQ81,Q06187
P00760,P13497
Q9KQH9,P81446
P02820,Q9WYH8
O73944,Q5SJ47
P07560,P08709
P00766,P00371
O43314,P07900
P00282,Q16611
P00439,P00749
P24182,P33981
Q07343,P00811
P31013,P03472
P03433,P00698
P00760,P24182
P48061,P00533
Q15843,Q9RME2
Q8TEK3,P04746
P0AEY0,P00636
Q8HXQ5,O69231
P20004,Q9KEI9
P53816,P35963
P07896,P9WHR9
P56817,C7C422
P24821,A0FGR8
P55734,P01730
P00730,O80852
Q7YS85,O95243
P13051,P11309
P13726,Q9Y253
Q97ST4,P83790
P31947,Q5T2W1
P54577,P19491
Q86X55,P29476
B8GZM2,P02185
P22887,P0A9B2
P06746,P00742
P11795,P03366
Q9H461,P10275
Q05581,P09616
P40729,Q12657
P05543,P23694
P00811,P00918
Q13614,P17571
Q16288,P41972
Q9NWZ3,P61011
O30297,O15118
P15116,Q9NY33
O81192,A0A0H2XCS3
Q03181,Q49605
P04133,P43183
P15917,P0A9D2
P00915,P38169
O00408,Q3ZBH0
Q9FHD7,P22734
P03472,Q6XV27
Q0PF16,P00533
A1B198,P03367
P32939,Q9GZQ8
P31151,P80067
P76129,P03300
Q8UYT3,O34925
P00766,P77444
P0A7Y4,P02787
Q9UGL1,Q59560
P9WID5,P08997
Q9GYI0,P69543
O07006,P42212
P00183,P0ABP8
O75874,Q08638
P69910,P03089
P52565,Q13485
Q47511,P11716
Q9HMP7,P00760
P42574,P23497
P0AFC0,P9WPP7
Q5SHH5,P15555
P08953,P0C6F2
P11686,P33160
P23616,P02879
Q8DEM0,P9WJJ5
P49773,P44801
P12111,P46467
Q9Y253,Q9GK12
Q05320,Q8N157
P03366,P46881
Q9YBL2,P17931
P17455,P09467
P00800,P29320
O67618,Q8ZL08
P19492,O14745
P0A884,P17993
P15873,A2QHE5
P9WHJ3,Q92993
P30920,P13000
Q05127,C3UVB0
P0A1C7,P23946
P00431,O00204
P0DPI0,P61964
P00808,P34071
Q00944,Q9GZT9
Q9H6X2,Q5HEG2
C7C422,A0A087WNH6
P22102,P02883
E9Q401,P01857
P05230,Q16769
P07112,A0A0H3KB22
Q37875,P0DOY2
P37231,P14324
Q9KH06,O34925
P0ABQ4,P71534
P17174,Q8PDX2
O67575,P25440
P29477,Q16539
Q05098,P96719
P12295,Q72IB8
Q16539,P05164
P47934,Q58484
P68400,P03069
P01116,P56273
P03420,Q9I3N0
A7SLZ2,O25119
P15121,P02768
P04789,Q46822
Q873X9,P32321
Q01960,P29473
Q6J8I9,P12497
P00390,P0A0C1
Q7NDN8,Q02150
P77072,P25644
P00442,Q15020
P0DKI3,P10636
E1XUJ2,O37061
P37468,P60955
Q6B0I6,P26663
Q9UBL3,P16157
Q72IB8,Q13636
Q99988,Q14451
P04303,Q9H3H5
P07900,Q01693
Q40577,P00921
Q5SL79,Q00022
P14902,Q9UIF9
P22734,Q81RQ4
O95150,P9WJ61
P29068,Q97F65
P26446,Q9Y663
Q05769,P42212
Q9Y5N6,Q7DDR9
Q99ZW2,O64527
O60674,P04578
Q9NZ08,P67825
P43099,Q5SQI0
P30197,P00644
P9WGM3,P11838
P52565,Q10740
P03311,P49841
P21836,P12676
P16113,P03195
P04958,P00749
P0AGD7,P61626
O43602,P23657
Q39054,P80188
O66496,Q65EX3
P0A1F6,P16442
P14769,O30917
P0AEB2,P08148
P35236,O25841
P84853,Q8C4Q6
P53350,P46531
P03355,Q15118
P46436,P24300
P0A6K3,P00533
Q24451,Q93VA3
P63086,P41016
P06181,P14555
P03692,Q9KEI9
Q08345,P03366
P0AE72,P00489
O50657,P00459
O75122,P00280
P9WNP5,Q26997
P68135,P19614
G3XD76,P45452
Q8IU60,P09038
O00408,P25911
A0A0R4IKJ1,P15454
P0AE18,P03367
Q8R5F8,Q97W92
Q8K1S3,Q9YFU8
P68082,P18956
Q9KZF5,P43632
P06276,P21802
Q9NII6,P06873
Q1XA76,P11838
P48775,P06971
P11309,P17443
P54818,P29476
P43320,P9WP25
P08581,P22985
P0DPQ7,P08799
P00720,Q5SK28
O32253,Q13627
P27707,Q9Y6N7
P69924,Q9I7A8
P04958,P0CH28
P61626,P40676
P00533,P15802
P49792,P00698
Q9H0N5,P53350
Q2G1A5,O14733
P11540,O06644
P00138,P25084
Q62667,Q9SYT0
Q9YFY3,P42212
P00431,P04190
P14618,P27788
Q9Y3Z3,P25006
P35256,P01308
P35120,Q9Y253
Q9UNA4,P46976
P24941,O32449
Q9IK91,P31517
P33160,Q9GZU1
P24058,Q9XUJ7
P03147,P02945
P0AB85,P0AD64
P60472,Q13541
Q9EQJ0,P0A6M4
Q9X1X7,Q9AYP9
O96017,Q9HZM7
P00441,P02787
Q9ZST4,P56221
Q9Y233,P40477
P04587,P04585
Q07820,O95271
Q05128,Q13882
P02229,P02925
P37231,P21836
P9WHL1,Q9H227
P01116,P0A759
O04492,Q7NDN8
P30046,P16330
P0A884,P18956
O60674,O94804
P77444,Q8NMF0
P15494,P31696
P14300,P00918
E7FAM5,P03303
P04390,O67060
P61497,Q6PJP8
P24941,P08037
Q99IB8,P9WKX3
P53355,P00742
Q94702,P50870
Q60357,O14745
P14174,Q8GMG0
P45780,P00959
Q9UKV8,P31350
V6F235,P09958
P24627,C5DSD6
O95696,P28720
P65249,P16442
P42574,O75636
Q53H47,Q14008
Q7KZF4,P09141
P00760,Q96GD0
P45452,P29466
P46088,P0AE82
P09104,D2ZZC1
P08631,Q03555
P13864,P96711
P0DN71,O05207
P0A334,P22681
P21816,P19491
Q9UBC3,P28720
P21375,Q9UM73
Q9A5I0,P01857
P23472,Q9Y3R4
P05979,Q05592
O15382,P02185
P09803,P04629
P05453,P54955
P27487,Q9DBV4
Q57564,P22759
P22734,P0AG74
P30074,Q9DF52
Q08881,P06746
Q89ZI2,P60891
P27487,P03372
P21673,P31896
P06437,Q63373
P56817,O95819
Q6P1M3,O14757
P0A6L2,O57802
P95748,P0AEE8
Q4QXJ7,P29166
Q60365,Q8DTG5
Q9UIF8,B3PC73
Q8TSG7,O75509
Q9UIF8,P00492
P0ABD3,Q79PF4
P15121,O14931
Q9NP99,Q70LE6
P15121,P11362
P38116,Q00972
P00698,Q04609
Q9UPY3,P52003
Q7NXD4,P04825
Q5T0W9,Q5UQL3
P9WPE5,P9WPX7
O57767,P31161
P0CK31,P00441
Q5X5Q1,P06276
O13297,P54464
P62937,Q9ZGI2
O43464,Q9F663
P06746,P11797
P05326,P02766
Q9Y9L0,P61823
P00864,Q9KEI9
P63104,Q9Y468
P17888,P9WNP5
P14555,P09455
P00045,P03418
Q57913,P02213
P02756,Q7SIG4
P11838,Q9BY41
Q08713,P23381
Q9Y3E7,O66937
O88838,Q39054
Q8WYA6,P0A9B2
P00805,P77072
P28523,P00651
P08670,P0A1I3
P00918,P29476
P15424,Q9I5Q5
P97571,P42196
P03612,Q9WZ31
Q5W9R9,P61588
O31677,Q9VI58
P0C6F2,P0AGM7
P15121,P9WPP9
P00431,Q04609
P0AE67,Q47746
O95497,P00451
P51161,Q93ZN9
P9WJK3,Q62636
P33176,P0CE48
Q9HWF9,Q9UBC3
P9WP23,P09186
Q9Y233,O00255
Q13705,P21836
P14735,P00763
Q12051,P41148
Q03933,P28907
P81054,O43613
P24182,P25081
Q9R194,P06873
Q4WF29,P00698
P24182,Q9NZJ5
O69787,P42574
Q992I2,Q04609
F2Z266,P00918
P06437,P12497
P25382,Q9Y2M0
P29373,Q8WVM0
P00742,P16671
P02213,P56817
P62577,Q9QZH4
Q9WYT0,A1VXZ7
O26232,Q8DP17
P0ABQ4,P02766
Q04IN8,P35520
Q8DR60,P35557
Q9QXL2,O31815
O26232,Q8YGH2
P00918,P52700
P52293,P29218
P02640,Q9GZT9
P46109,Q9UIF8
G2NFJ9,P01857
Q9UBC3,Q8IU60
Q89YR9,P08246
P45983,Q00604
P15319,P0C6Z1
Q79PF4,Q62717
Q9UKK9,P02766
P9WKI7,P06746
O60701,P10802
O60760,P58880
O95243,P09215
P01112,Q9TVW2
P27797,Q56148
P02458,P22455
P41240,P02945
P02619,P56817
P16442,Q92793
Q7CEG3,P23443
A6L3B5,P01837
P00778,P35520
Q3YBR2,P35613
P63316,Q13526
P31992,P41021
P00431,Q75I93
P01593,Q57834
Q9I4E3,P69924
Q13451,C7C422
P02766,A2QHE5
Q65XK0,P03612
P09382,P03070
P00533,Q86Z14
Q68G84,Q26710
P00734,Q775D6
Q9U1M8,Q9UIF8
O30297,P04395
P11838,Q01080
P50225,P47229
P09211,P00918
P0A434,Q5SW79
Q8GI16,P18206
P00270,P55915
P95481,P80188
P16442,P62593
Q5SHN5,Q8U1N9
Q9X024,O74856
Q99ZW2,P22634
Q9UNQ0,Q9PI11
P45452,P0A809
P00698,P06437
P52293,P25500
P82408,P24297
O14936,P03311
P49137,Q07422
O00560,Q9ULA0
Q9UGL1,Q9Y4B6
P42212,Q8KG93
Q9LDC0,P00720
P01112,P00918
P00431,P00760
Q9HBD1,O43570
P08253,P44569
Q9BQQ3,P63279
P12497,P9WP65
P28720,P21164
P0A7Y4,Q02555
Q8KHZ8,Q0P9D3
P0C024,P25084
Q9X1X7,O25896
Q05603,P01009
P29477,P12003
P03367,P23946
P0A6Y8,P06241
P62937,P37064
Q9WVG6,Q88IY3
P61823,O60885
P0ABQ4,P00772
P00431,Q16539
P00720,Q9Y253
Q16773,P56389
P22557,P9WPC9
P09601,P03366
Q5JFM9,P08921
P02883,P50053
Q92769,P0A6R0
P04802,P46130
P17109,P68135
P37329,Q12285
Q07820,Q9U6Y5
P35755,P24186
Q00511,P00734
P14489,Q00944
B5KM66,Q24451
P09651,P11073
Q9Y253,P47228
P10275,P56817
Q9Y2G1,P30822
P11716,Q43295
Q9VKD7,P02766
P15121,Q9NRS6
P80546,P01867
Q8Y3R9,P03367
P05181,Q9RQJ2
P9WP15,P9WNY5
Q07820,P67910
P09960,P0C960
Q8E378,P02766
Q5HFV4,P47228
P60174,Q63584
P11838,P05112
P00918,Q9K7N6
P49863,P80912
P50536,G0LFX8
P00489,P23687
Q9I7D3,P15447
Q86UY5,P02766
P12277,P02766
P05089,O75970
P9WK17,Q10714
P05050,P18031
Q8I914,Q96BM9
Q13148,Q5AR53
P0DJD7,O75716
Q8U093,Q58976
P09914,P21890
P77398,P02788
Q3JNW6,P9WNU1
P17169,Q9UIF8
Q6PJP8,P00800
P06229,P9WJ72
P15424,P16790
O60885,P00720
O74958,O34153
P03951,P02911
P06202,P32884
Q9BZP6,P11838
O00408,A0A0H3GGY3
Q92831,O75874
P00094,P62937
Q9K492,P01031
P27577,Q70LE6
P06746,P07379
Q9Y233,P60844
Q9SMT7,Q9ES89
Q9I194,P36370
P35272,P23202
P00950,P37231
P19174,P69179
Q14145,P28720
P13569,Q9BS26
P14941,O76074
P23368,P08709
P02592,O15554
P04963,Q5AR53
P01008,Q13467
Q6PCD5,Q9KS12
P54609,O75223
P29476,P21164
P06999,Q9NP87
O00338,O54259
P03367,P0A0K8
O92956,P00781
P48736,Q01782
P07751,Q9SE93
Q1GNW5,Q9I509
Q2TBA3,P02185
P23542,O75164
P9WGG9,P14174
Q3IWB0,P61626
Q9Y823,P00918
P75993,O36030
Q873X9,P05089
P09955,O75164
Q9NQR1,P81186
P48061,P68190
P29473,P30041
P26515,P33981
Q01082,P00760
Q16539,P02185
P37957,P9WKD3
P00558,Q0KBP1
P00651,Q9HCK4
O29903,B0YD89
P29317,G0WXL9
P61626,P0AD96
P0A223,P22392
P85302,P00784
Q9JLU4,P53847
Q9UMX1,Q8MRC9
Q9UXG1,O92972
Q9ZMY2,P08191
P53559,P00044
Q8TDX5,Q9L132
C7C422,P0C8P8
Q8TXU4,P00523
Q00511,P56817
P35557,O12158
Q9KX40,P00374
P05777,P27694
Q9I834,P13829
P54763,O87008
Q18014,P51513
P02911,P48825
P06786,P00760
O92972,O95696
Q4WMJ8,P52209
O15111,P03950
O58456,P01868
Q26997,P9WNG3
Q16849,Q9DER5
P49347,P21836
P71447,P9WQ81
P29022,P15291
P35129,Q7Z4W1
O59245,Q12778
P00509,A7LXT8
P01359,P00760
O60260,P04252
P04425,P09012
Q2T8B0,Q8IWT6
O95696,Q57913
O75030,O75223
P9WKK9,P02866
P01116,Q03164
Q8FV25,P34913
P08921,P01031
P24941,Q97W02
P26446,O60885
P15692,P09012
Q9R0G6,P0AGD7
P07711,Q9UM73
P69517,P01112
Q9X024,O07566
P05455,P26514
P06873,P07547
O51632,P0A9M5
P31224,Q97W02
P00489,Q9GK12
P15085,P62623
P56817,P00375
P14174,Q9NQV7
P03147,P33644
Q5SKR5,P18031
Q911P0,P21579
O05581,P23687
Q9KMA5,P9WQG9
O95271,P48598
P9WHN7,P07148
P41260,Q60053
P00915,P53582
Q8NWR0,O60674
P12070,Q9X112
O28401,P11439
Q9UR08,P04390
O15530,P00720
P18206,Q16873
P00431,P29317
P04958,P0AAI5
O88622,P01635
P29476,I6WU39
Q9SZU7,P16330
Q8VHN2,P02699
Q12913,P22734
P63000,Q2YKV1
P01857,Q8R4E9
P01660,P04191
P9WMC1,O94804
P30904,P00374
Q9NP87,P00378
P00352,P24300
O81086,P00183
C7BKP9,O95696
O31466,P43099
P00915,P00720
Q97Q31,Q13018
Q9CPT3,O58456
O43175,P20656
P42574,P03369
Q9UNA4,Q00604
P31947,P29476
Q8IDR3,P53634
Q59560,Q9DBV4
F5HFA1,Q9Q6P4
P00698,P62937
Q12051,P0CW58
P08709,Q5TA50
P0DMI1,Q66282
Q9Y689,B8ZKS5
O95749,O96013
P84142,P10930
P44868,P37019
O95271,P02185
P19339,Q9UNA4
O32243,Q8VXY9
P10824,P04585
P19492,P08709
P33221,P00742
P52293,P63316
Q9BRV8,P63320
Q92793,P18895
Q9NR97,Q06135
P0C6U2,P36655
P80457,P20273
P00698,P0AGM7
Q6J8I9,P00375
P32340,Q6PL18
Q9KB30,Q7L5N1
P37231,Q6B0I6
P0AEX9,P02185
P22087,P27986
P06746,Q9C0B1
Q83E11,P55072
Q86WV6,P06276
O95045,P0A9B2
P00918,P00636
P00509,P56817
P21401,O35002
Q47505,P94692
P13921,P83852
Q9X519,P02766
O26232,P12676
Q8GTM0,O14757
P0AGE6,P29475
D5VRB9,P14780
A0A1D8PQ86,P07711
Q5TCY1,Q3MFY8
P13063,P03621
P26918,P00749
P39662,P54819
P14677,Q9AIU0
P07900,Q48485
P46881,P03314
O43314,O14733
P0A0K8,Q9R1T5
Q80A30,P15183
P94678,P51996
P07813,P76015
P61626,P21816
P04792,Q7SIG4
B6A879,P07741
P75876,P49902
O15382,Q04LE4
P61497,P00760
P71534,P15873
O43924,Q6B0I6
P50579,P14949
P11838,Q8GPH6
P00366,P10943
P36639,P00441
P17931,P00533
P38811,P04866
P00720,P06746
Q9WYC4,P32056
P28482,Q5HGZ3
P27318,Q9UBX2
P31224,P14174
P11716,P02794
P0A6K3,P08149
O24876,P24057
P01887,Q9PPB0
P08631,O14757
P83916,P38348
P00441,C0SVZ6
Q9UIF8,P02791
Q2MGH6,O60885
O02697,P08895
P11309,P24941
Q9UJY5,O80992
Q9CA40,P90551
P25052,P02185
P36946,P03069
P15879,P04228
Q07108,P27958
O33833,Q01043
P0ACC7,O28471
Q12432,P08254
P56681,P16892
P02883,P48740
O60885,Q13477
P29274,P29475
P29466,C7C422
P75746,O22476
P68431,O95696
P30405,P00573
Q96NX5,P03147
Q15493,O60341
P43405,P19515
P56817,Q75I93
O29917,P32169
P00918,A0R1E8
P08519,Q6P2Q9
Q5ZYP6,P04746
P56817,P12870
P00371,P00593
A2PZA5,P72151
P9WPX7,Q6NAM1
P61823,Q9UHY7
P14920,P0AE18
P44688,D7GXG5
P00698,P68082
P00808,P79345
P42684,Q6YMS4
P18548,O58832
Q23246,P09803
P59071,P14174
P03040,Q5UQL3
P14668,Q63042
Q9SR62,P00523
P06653,Q56237
P00760,P08202
P95480,P00747
O35795,Q9RZA4
P24300,Q9KVM1
P14618,Q9VEZ3
P0A8M3,P28676
P27958,P02185
P80244,P03069
P40699,Q9NZD2
P05412,P52293
Q16539,Q12149
Q9Y233,Q9Y6Y9
P80293,O66036
P06202,O14786
P24941,Q839Z1
Q9Y3Q4,O58456
P9WGR1,P11041
P39377,Q9KEI9
P0AE18,Q9Y468
P06737,P29392
Q9JWM8,Q46822
P42574,Q9M8R4
P29317,P00742
P26221,O50202
Q01782,P00918
P01308,P02945
P08246,A1L259
P40832,P00183
P08179,P56109
P0AB87,P48598
P25052,P00651
P23497,P29068
P06746,Q5SI12
Q02248,P9WP15
Q9WVL0,P02766
Q9BQQ3,P00183
P07435,P29166
Q7VTJ9,P04585
P62937,Q81JX0
P00918,O95696
O60885,P25401
P43777,O95297
Q9USP7,Q16875
P02766,P27338
O95696,P01116
P06745,P18031
Q99988,P00644
P24941,P00918
P26663,P11309
P02866,P00749
P15917,O96013
Q9UBU8,P14061
P04180,Q4WZ70
P42212,Q9NWT6
P0DOX7,P16330
P14740,O59179
Q9SSM7,Q6PJP8
P09382,Q9UBT6
P9WGV3,P08686
P41181,P62508
P24215,Q7NDN8
Q9NU19,O60885
Q8ZYE0,P00282
P02791,P51531
P00742,P63086
Q13451,P00918
P49902,P61626
P0A884,Q6UWP2
P32867,Q39034
P15587,P63043
Q6V7J5,P09211
P68135,P85173
Q9U6B8,P12931
P00800,P10997
Q9NP58,P02879
P28482,Q5U925
P56533,O95801
P0C6U8,Q9UIF9
P18031,P40676
P11411,O33194
P01850,O60885
P34913,P0A988
P12676,P54818
Q9UIF8,Q9HD26
Q13614,P00644
P9WP53,P05050
P60043,P84148
Q9ES57,Q00972
P30920,Q9CAK8
Q86U86,P22629
Q9UKK9,P0ACJ8
P03372,Q09LX1
P03433,P26361
P03366,Q9VB68
P0DJL7,P05618
P00918,P00183
Q6B0I6,Q08345
H2K885,P26562
Q9RZA4,P49759
P59071,Q9K7N6
Q02762,P26446
P24941,A9LNK9
P58488,Q9QYJ6
P53930,P51697
Q9UKV8,P08684
O00834,O87198
Q29551,P0ABE7
P0A334,P04390
P16083,Q16873
P16480,P9WJF1
P08536,O43252
O59791,Q6PHZ2
P39594,P0A894
P00644,P00797
P00138,P00720
P0A6Z6,P43889
P00433,Q02899
Q7A189,P35475
P0C0V0,Q9HCB6
Q9D9X8,B4XMC6
P0A6L4,A5TYT6
P00533,O60885
P00644,P04547
P04789,P9WQD3
Q13188,Q13838
P24941,Q8WZM4
Q06851,Q9NWZ3
Q9WUL6,O43318
Q9UIF8,P02185
P66038,P06312
Q15365,O06644
P11838,O69054
O75874,Q00496
P07132,P02766
Q9GZT9,P13513
P42262,Q5F924
P68082,P0ABQ4
P63284,Q9RFR0
P21549,P60033
P10104,P06820
Q9UIF8,P00935
P00918,Q8GBB2
Q8N8N7,P04580
P44741,P00698
Q9KEI9,P0C0S1
Q9UNG2,P14004
P28720,Q40577
P01112,P04035
P83847,P00749
O26153,P31947
P9WQD3,P00282
P56524,P04585
Q02880,P23921
Q10QA5,P09622
P00509,P03472
P39086,P60842
Q15JG1,P07620
Q5EK40,P09874
Q08499,P34913
P0AE78,P06746
