Proteina A,Proteina B
P37698,P26492
P62152,O96017
P11172,P00438
P18031,P10929
O29537,P03367
Q9NP87,P00378
Q9I8X1,P25293
P00489,P00268
Q86VQ6,P56817
Q8G907,O95150
P0A434,Q5SW79
Q9NZQ7,Q195N6
P46881,P03314
P10721,P48736
Q8KES1,P00469
P24735,P01863
P03303,P00698
O14757,P00720
P07858,P40409
P00433,P53396
O74036,Q9H3R0
P11978,O75460
P9WM67,P11086
Q04830,P00720
Q13526,P61823
P06875,Q47112
P14900,P00374
Q9SR19,P0A0C1
P04191,P59595
P01034,P44801
Q16539,Q12149
P01116,Q03164
P26281,P29317
P60022,P09866
P27986,P9WME9
Q7Z1V1,P49610
P9WP53,P05050
P41182,P94388
P70158,Q96CS7
P0A7Y4,Q02555
P07798,P67954
O14607,P86993
P09155,P13423
P0A2M9,P06873
P13835,P00524
Q71RI9,P0A6H5
Q99JR6,P00183
P10186,O28889
Q9KVG7,Q05097
P9WIV3,Q96BM9
P25335,P37173
P00448,P71447
P29475,P12497
Q53WG9,Q62230
P41043,O22476
P00742,P63086
Q9WYT0,A1VXZ7
P22748,P00374
Q41931,P39315
P51157,Q6GGU4
P08200,O94972
A8QL58,P9WKD3
P0ABE7,O58456
Q9Y4P1,O57385
P14735,P00763
O00625,Q183R7
P36037,P08037
P00509,P03472
P02766,P27338
P02794,Q6PJP8
P00808,P79345
P09331,Q07820
O75891,P29475
Q3TBT3,P01008
P78417,P00533
P0C6X1,P00805
P23921,P19321
Q8N9L9,Q9UKK9
Q00511,P56817
Q6J8I9,P00375
O31466,P43099
P00749,P06746
P33334,S5N020
P49902,P61626
O57767,P31161
P00371,P00593
P11124,Q02724
P49913,P24941
P00327,Q16875
Q9F1Y6,P0A6C8
Q53239,P52839
P12904,Q6PW77
O57770,O30917
Q3U4G3,P11766
O43924,Q6B0I6
P52895,Q06190
P27487,P03372
O59945,O88689
Q06609,P56689
P46882,P04825
Q14790,P02931
Q07794,Q13526
P05067,O14965
P03728,Q99418
Q00496,Q6GJI9
Q9NZ45,Q9L9D7
Q57587,P56216
Q13093,Q92793
P97479,Q9UNA4
P02945,P00491
D3ZMK9,P61812
P10807,P23367
P0A884,Q6UWP2
P03438,P07102
Q24451,Q93VA3
P56734,Q96LB9
P37744,Q8BJ34
P32445,P24941
Q6PHR2,P44490
A2QHE5,P02931
P75170,A0A452E9Y6
P29600,O95696
Q9Y606,O11457
P01556,Q8TTZ5
Q9HXM1,P00742
P9WI81,O60885
Q8EJW4,P42321
P32125,P0A6L4
O29917,P32169
Q9JMA2,P18031
P05230,Q16769
P37690,P07850
G0S7B6,P0ADC1
P29373,Q8WVM0
P06181,P14555
O95696,P01116
P75906,P04035
P20917,C0HJT5
Q14185,P22629
O15294,P54820
P0AAC0,P12931
P17906,P83040
P08581,P22985
P33590,P11064
Q06124,P01730
P01837,P00514
P15121,Q9NRS6
Q7SIC2,P02766
O75469,P06129
P41541,F9UST4
P00761,P0C0U4
Q54727,P02701
Q8WYA6,P0A9B2
P25440,Q9X6J6
P39476,O34757
P15057,O66692
Q9D8T2,Q27084
Q8U1N9,P32169
P26949,Q9YGB4
Q47083,P53779
P38830,P63279
E8ME30,P00489
Q13546,P22629
P9WJK3,Q62636
P97852,P00523
P25054,P29274
Q91ZW2,Q7NDN8
Q5SSZ7,Q51883
P84751,A0QV09
P15692,P09012
O15178,P37792
P04156,P00698
P05327,P03950
P0ABQ4,P00772
P42260,P06229
Q9NZN8,P35968
P11353,Q9UIF8
Q16831,P00698
P40037,Q9P9H1
Q9KEI9,P0C0S1
P35164,O15091
P0AAV8,Q5SHB1
P16113,P03195
Q75I93,P24758
O85465,P02945
P03314,P06746
P02185,Q96AZ6
P13686,P02778
P00183,P0ABP8
P07342,Q07817
P23687,Q9QXS1
Q9NX01,P69543
P15034,P0A434
P56653,P25440
Q9H1D0,P22557
P53582,P35225
Q01469,O35904
Q9NX74,Q9HZK0
P01308,P02945
Q8WXE0,O00478
O33599,O91464
P63590,P03069
P15636,Q5SJP8
P9WHR3,P07359
P00446,P84152
P02743,P63086
B8XA40,P02753
O75164,P00918
P29466,C7C422
P04585,Q9UK55
P04062,P00889
P00957,P26663
Q46927,P00800
Q13627,Q8Y9N5
P61823,Q47810
P09382,Q9UBT6
Q6CXP4,P61626
P22346,P43405
Q9Y4W6,P30419
Q9NL89,Q9PIG7
P23458,P46881
Q9A1B7,Q57733
P9WQ81,Q06187
Q9KQH9,P81446
P02820,Q9WYH8
O73944,Q5SJ47
P07560,P08709
P00766,P77444
O43314,Q6JM09
P00282,Q16611
P00439,P00749
P24182,Q9NZJ5
Q07343,P00811
P31013,P03472
P03433,P26361
P48061,P68190
Q15843,Q9RME2
P0AEY0,P00636
Q8HXQ5,O69231
P20004,Q9KEI9
P53816,P35963
P07896,P9WHR9
P24821,A0FGR8
P55734,P01730
P00730,O80852
P13051,P11309
P13726,Q9Y253
Q97ST4,P83790
P31947,P29476
P54577,P19491
Q86X55,P29476
B8GZM2,P02185
P22887,P0A9B2
P11795,P03366
Q9H461,P10275
Q05581,P09616
P40729,Q12657
P05543,P23694
P00811,P00918
Q13614,P00644
Q16288,P41972
Q9NWZ3,P61011
O30297,P04395
P15116,Q9NY33
O81192,A0A0H2XCS3
Q03181,Q49605
P04133,P43183
P15917,O96013
P00915,P00720
O00408,A0A0H3GGY3
Q9FHD7,P22734
P03472,Q6XV27
Q0PF16,P00533
A1B198,P03367
P32939,Q9GZQ8
P31151,P80067
P76129,P03300
Q8UYT3,O34925
Q9UGL1,Q9Y4B6
P9WID5,P08997
Q9GYI0,P69543
O07006,P42212
O75874,Q00496
P69910,P03089
P52565,Q10740
Q47511,P11716
Q9HMP7,P00760
P0AFC0,P9WPP7
Q5SHH5,P15555
P08953,P0C6F2
P11686,P33160
P23616,P02879
Q8DEM0,P9WJJ5
P49773,P44801
P12111,P46467
Q9Y253,P10968
Q05320,Q8N157
Q9YBL2,P17931
P17455,P09467
O67618,Q8ZL08
P19492,P08709
P15873,P03607
P9WHJ3,Q92993
P30920,Q9CAK8
Q05127,C3UVB0
P0A1C7,P23946
P00431,P29317
P0DPI0,P61964
Q00944,Q9GZT9
Q9H6X2,Q5HEG2
C7C422,P0C8P8
P22102,P02883
E9Q401,P01857
P07112,A0A0H3KB22
Q37875,P0DOY2
Q9KH06,O34925
P17174,Q8PDX2
O67575,P25440
P29477,P12003
Q05098,P96719
P12295,Q72IB8
P47934,Q58484
P68400,P03069
P03420,Q9I3N0
A7SLZ2,O25119
P04789,P9WQD3
Q873X9,P05089
Q01960,P29473
P00390,P0A0C1
Q7NDN8,Q02150
P77072,P25644
P00442,Q15020
P0DKI3,P10636
E1XUJ2,O37061
P37468,P60955
Q6B0I6,Q08345
Q9UBL3,P16157
Q72IB8,Q13636
Q99988,P00644
P04303,Q9H3H5
Q40577,P00921
Q5SL79,Q00022
P14902,Q9UIF9
P22734,P0AG74
O95150,P9WJ61
P29068,Q97F65
P26446,O60885
Q05769,P42212
Q9Y5N6,Q7DDR9
Q99ZW2,P22634
Q9NZ08,P67825
P43099,Q5SQI0
P30197,P00644
P9WGM3,P11838
P03311,P49841
P21836,P12676
P04958,P0AAI5
P0AGD7,P61626
O43602,P23657
Q39054,P80188
O66496,Q65EX3
P0A1F6,P16442
P14769,O30917
P0AEB2,P08148
P35236,O25841
P84853,Q8C4Q6
P53350,P46531
P03355,Q15118
P46436,P24300
P0A6K3,P08149
P63086,P41016
P03692,Q9KEI9
Q08345,P03366
P0AE72,P00489
O50657,P00459
O75122,P00280
P9WNP5,Q26997
P68135,P85173
G3XD76,P45452
Q8IU60,P09038
A0A0R4IKJ1,P15454
P0AE18,Q9Y468
Q8R5F8,Q97W92
Q8K1S3,Q9YFU8
P68082,P0ABQ4
Q9KZF5,P43632
P06276,P21802
Q9NII6,P06873
Q1XA76,P11838
P48775,P06971
P11309,P24941
P54818,P29476
P43320,P9WP25
P0DPQ7,P08799
O32253,Q13627
P27707,Q9BHM6
P69924,Q9I7A8
P49792,P00698
Q9H0N5,P53350
Q2G1A5,O14733
P11540,O06644
P00138,P00720
Q62667,Q9SYT0
Q9YFY3,P42212
P14618,Q9VEZ3
Q9Y3Z3,P25006
P35256,P01308
Q9IK91,P31517
P33160,Q9GZU1
P24058,Q9XUJ7
P03147,P33644
P0AB85,P0AD64
P60472,Q13541
Q9EQJ0,P0A6M4
Q9X1X7,O25896
O96017,Q9HZM7
Q9ZST4,P56221
P04587,P04585
Q05128,Q13882
P02229,P02925
P9WHL1,Q9H227
O04492,Q7NDN8
P30046,P16330
P77444,Q8NMF0
P15494,P31696
P14300,P00918
E7FAM5,P03303
P04390,O67060
P61497,P00760
Q99IB8,P9WKX3
P53355,P00742
Q94702,P50870
Q60357,O14745
P14174,Q9NQV7
P45780,P00959
Q9UKV8,P08684
V6F235,P09958
P65249,P16442
Q53H47,Q14008
Q7KZF4,P09141
P45452,P0A809
P46088,P0AE82
P09104,D2ZZC1
P08631,O14757
P13864,P96711
P0DN71,O05207
P0A334,P04390
P21816,P19491
Q9UBC3,Q8IU60
P21375,Q9UM73
Q9A5I0,P01857
P23472,Q9Y3R4
P05979,Q05592
O15382,Q04LE4
P09803,P04629
P05453,P54955
Q57564,P22759
P30074,Q9DF52
Q08881,P06746
Q89ZI2,P60891
P21673,P31896
P06437,P12497
Q6P1M3,O14757
P0A6L2,O57802
P95748,P0AEE8
Q4QXJ7,P29166
Q60365,Q8DTG5
Q8TSG7,O75509
P0ABD3,Q79PF4
Q9NP99,Q70LE6
P38116,Q00972
Q9UPY3,P52003
Q7NXD4,P04825
Q5T0W9,Q5UQL3
P9WPE5,P9WPX7
P0CK31,P00441
Q5X5Q1,P06276
O13297,P54464
P62937,Q81JX0
O43464,Q9F663
P05326,P02766
Q9Y9L0,P61823
P00864,Q9KEI9
P63104,Q9Y468
P17888,P9WNP5
P14555,P09455
P00045,P03418
Q57913,P02213
P02756,Q7SIG4
Q08713,P23381
Q9Y3E7,O08553
O88838,Q39054
P00805,P77072
P28523,P00651
P08670,P0A1I3
P15424,Q9H9B1
P97571,P42196
P03612,Q9WZ31
Q5W9R9,P61588
O31677,Q9VI58
P0C6F2,P0AGM7
P0AE67,Q47746
O95497,P00451
P51161,Q93ZN9
P33176,P0CE48
Q9HWF9,Q9UBC3
P9WP23,P09186
Q13705,P21836
Q12051,P0CW58
Q03933,P28907
P81054,O43613
Q9R194,P06873
Q4WF29,P00698
O69787,P42574
Q992I2,Q04609
F2Z266,P00918
P25382,Q9Y2M0
P62577,Q9QZH4
O26232,P12676
Q04IN8,P35520
Q8DR60,P35557
Q9QXL2,O31815
P02640,Q9GZT9
P46109,Q9UIF8
G2NFJ9,P01857
Q89YR9,P08246
P45983,Q00604
P15319,P0C6Z1
Q79PF4,Q62717
Q9UKK9,P0ACJ8
P9WKI7,P06746
O60701,P10802
O60760,P58880
O95243,P09215
P01112,P04035
P27797,Q56148
P02458,P22455
P41240,P02945
P02619,P56817
P16442,P23687
Q7CEG3,P23443
A6L3B5,P01837
P00778,P35520
Q3YBR2,P35613
P63316,Q13526
P31992,P41021
P01593,Q57834
Q9I4E3,P69924
Q13451,P00918
Q65XK0,P03612
Q68G84,Q26710
P00734,Q775D6
Q9U1M8,Q9UIF8
P50225,P47229
P09211,P00918
Q8GI16,P18206
P00270,P55915
P95481,P80188
Q5SHN5,Q8U1N9
Q9X024,O07566
Q9UNQ0,Q9PI11
P82408,P24297
O14936,P03311
P49137,Q07422
O00560,Q9ULA0
Q9LDC0,P00720
Q9HBD1,O43570
P08253,P44569
Q9BQQ3,P00183
P12497,P9WP65
P28720,Q40577
Q8KHZ8,Q0P9D3
P0C024,P25084
Q05603,P01009
P03367,P0A0K8
P0A6Y8,P06241
Q9WVG6,Q88IY3
Q16773,P56389
P22557,P9WPC9
Q5JFM9,P08921
P02883,P48740
Q92769,P0A6R0
P04802,P46130
P17109,P68135
P37329,Q12285
P35755,P24186
P14489,Q00944
B5KM66,Q24451
P09651,P11073
P10275,P56817
Q9Y2G1,P30822
P11716,P02794
Q9VKD7,P02766
P80546,P01867
Q8Y3R9,P03367
P05181,Q9RQJ2
P9WP15,P9WNY5
Q8E378,P02766
Q5HFV4,P47228
P60174,Q63584
P49863,P80912
P50536,G0LFX8
Q9I7D3,P15447
Q86UY5,P02766
P12277,P02766
P05089,O75970
P9WK17,Q10714
P05050,P18031
Q8I914,Q96BM9
Q13148,Q5AR53
P0DJD7,O75716
Q8U093,Q58976
P09914,P21890
P77398,P02788
Q3JNW6,P9WNU1
P17169,Q9UIF8
P06229,P9WJ72
O60885,P25401
O74958,O34153
P06202,O14786
Q9BZP6,P11838
Q92831,O75874
P00094,P62937
Q9K492,P01031
P27577,Q70LE6
Q9SMT7,Q9ES89
Q9I194,P36370
P35272,P23202
P00950,P37231
P19174,P69179
Q14145,P28720
P13569,P07900
P14941,O76074
P23368,P08709
P02592,O15554
P04963,Q5AR53
P01008,Q13467
Q6PCD5,Q9KS12
P54609,O75223
P29476,I6WU39
P06999,Q9NP87
O00338,O54259
O92956,P00781
P48736,Q01782
P07751,Q9SE93
Q1GNW5,Q9I509
Q2TBA3,P02185
P23542,O75164
P9WGG9,P14174
Q3IWB0,P61626
Q9Y823,P00918
P75993,O36030
P09955,O75164
Q9NQR1,P81186
P26515,P33981
Q01082,P00760
P37957,P9WKD3
P00558,Q0KBP1
P00651,Q9HCK4
O29903,B0YD89
P29317,P00742
P0A223,P22392
P85302,P00784
Q9JLU4,P53847
Q9UMX1,Q8MRC9
Q9UXG1,O92972
Q9ZMY2,P08191
P53559,P00044
Q8TDX5,Q9L132
Q8TXU4,P00523
Q9KX40,P00374
P05777,P27694
Q9I834,P13829
P54763,O87008
Q18014,P51513
P02911,P48825
P06786,P00760
O92972,O95696
Q4WMJ8,P52209
O15111,P03950
Q26997,P9WNG3
Q16849,Q9DER5
P49347,P21836
P71447,P9WQ81
P29022,P15291
P35129,Q7Z4W1
O59245,Q12778
P01359,P00760
O60260,P04252
P04425,P09012
Q2T8B0,Q8IWT6
O75030,O75223
P9WKK9,P02866
Q8FV25,P34913
P08921,P01031
Q9R0G6,P0AGD7
P07711,Q9UM73
P69517,P01112
P05455,P26514
P06873,P07547
O51632,P0A9M5
P31224,P14174
P15085,P62623
Q5SKR5,P18031
Q911P0,P21579
O05581,P23687
Q9KMA5,P9WQG9
O95271,P02185
P9WHN7,P07148
P41260,Q60053
Q8NWR0,O60674
P12070,Q9X112
O28401,P11439
Q9UR08,P04390
P18206,Q16873
O88622,P01635
Q9SZU7,P16330
Q8VHN2,P02699
Q12913,P22734
P63000,Q2YKV1
P01857,Q8R4E9
P01660,P04191
P9WMC1,O94804
P30904,P00374
P00352,P24300
O81086,P00183
C7BKP9,O95696
Q97Q31,Q13018
Q9CPT3,O58456
O43175,P20656
Q8IDR3,P53634
Q59560,Q9DBV4
F5HFA1,Q9Q6P4
P08709,Q5TA50
P0DMI1,Q66282
Q9Y689,B8ZKS5
O95749,O96013
P84142,P10930
P44868,P37019
P19339,Q9UNA4
O32243,Q8VXY9
P10824,P04585
P33221,P00742
Q9BRV8,P63320
Q92793,P18895
Q9NR97,Q06135
P0C6U2,P36655
P80457,P20273
P32340,Q6PL18
Q9KB30,Q7L5N1
P22087,P27986
Q83E11,P55072
Q86WV6,P06276
O95045,P0A9B2
P21401,O35002
Q47505,P94692
P13921,P83852
Q9X519,P02766
Q8GTM0,O14757
P0AGE6,P29475
D5VRB9,P14780
A0A1D8PQ86,P07711
Q5TCY1,Q3MFY8
P13063,P03621
P26918,P00749
P39662,P54819
P14677,Q9AIU0
Q80A30,P15183
P94678,P51996
P07813,P76015
P04792,Q7SIG4
B6A879,P07741
P75876,P49902
P71534,P15873
P50579,P14949
P00366,P10943
P17931,P00533
P38811,P04866
Q9WYC4,P32056
P28482,Q5U925
P27318,Q9UBX2
O24876,P24057
P01887,Q9PPB0
P83916,P38348
Q2MGH6,O60885
O02697,P08895
Q9UJY5,O80992
Q9CA40,P90551
P25052,P00651
P36946,P03069
P15879,P04228
Q07108,P27958
O33833,Q01043
P0ACC7,O28471
Q12432,P08254
P56681,P16892
P29274,P29475
P75746,O22476
P68431,O95696
P30405,P00573
Q96NX5,P03147
Q15493,O60341
P43405,P19515
P08519,Q6P2Q9
Q5ZYP6,P04746
A2PZA5,P72151
P9WPX7,P18031
P14920,P0AE18
P44688,D7GXG5
P42684,Q6YMS4
P18548,O58832
Q23246,P09803
P59071,Q9K7N6
P03040,Q5UQL3
P14668,Q63042
Q9SR62,P00523
P06653,Q56237
P95480,P00747
O35795,Q9RZA4
P24300,Q9KVM1
P0A8M3,P28676
P27958,P02185
P80244,P03069
P40699,Q9NZD2
P05412,P52293
P80293,O66036
Q9Y3Q4,O58456
P9WGR1,P11041
P39377,Q9KEI9
P06737,P29392
Q9JWM8,Q46822
P26221,O50202
Q01782,P00918
P08246,A1L259
P40832,P00183
P08179,P56109
P0AB87,P48598
P23497,P29068
Q02248,P9WP15
Q9WVL0,P02766
P07435,P29166
Q7VTJ9,P04585
P43777,O95297
Q9USP7,Q16875
P06745,P18031
P02866,P00749
Q9UBU8,P14061
P04180,Q4WZ70
P0DOX7,P16330
P14740,O59179
Q9SSM7,Q6PJP8
P9WGV3,P08686
P41181,P62508
P24215,Q7NDN8
Q9NU19,O60885
Q8ZYE0,P00282
P02791,P28306
P32867,Q39034
P15587,P63043
Q6V7J5,P09211
Q9U6B8,P12931
Q9NP58,P02879
P56533,O95801
P0C6U8,Q9UIF9
P11411,O33194
P01850,O60885
P12676,P54818
P60043,P84148
Q9ES57,Q00972
Q86U86,P22629
P03372,Q09LX1
P0DJL7,P05618
H2K885,P26562
Q9RZA4,P49759
Q02762,P26446
P58488,Q9QYJ6
P53930,P51697
O00834,O87198
Q29551,P0ABE7
P16083,Q16873
P16480,P9WJF1
P08536,O43252
O59791,Q6PHZ2
P39594,P0A894
P00644,P04547
P0A6Z6,P43889
Q7A189,P35475
P0C0V0,Q9HCB6
Q9D9X8,B4XMC6
P0A6L4,A5TYT6
Q13188,Q13838
Q06851,Q9NWZ3
Q9WUL6,O43318
P66038,P06312
Q15365,O06644
P07132,P02766
P42262,Q5F924
P63284,Q9RFR0
P21549,P60033
P10104,P06820
Q8N8N7,P04580
P44741,P00698
Q9UNG2,P14004
P83847,P00749
O26153,P31947
P9WQD3,P00282
P56524,P04585
Q02880,P23921
Q10QA5,P09622
P39086,P60842
Q15JG1,P07620
Q5EK40,P09874
Q08499,P34913
P0AE78,P06746
P02931,P08709
P08943,P00698
Q8WYH8,O14352
P10636,P63104
P00782,P71039
Q9AEM1,P00959
Q8RY79,P0DOY2
P0AC55,O95684
O25099,Q9Y251
Q15431,P00433
P00323,P80386
O95503,Q50497
P81877,P02920
P10868,O58185
Q24323,P29476
P38501,A0A023GPI8
P42790,P00918
P07379,P9WKE9
P9WFX5,P00083
P00374,P0ACJ8
Q16769,P56817
Q5ZSQ2,Q80W49
O34966,Q9T0N8
P40732,P63705
A0Q7Q2,P35458
Q8NCJ5,P35790
Q6PL18,P48632
P01552,P00533
O04385,P00509
P05361,P08200
P22629,P52293
P09147,P28523
P9WPA5,P31224
Q9BQP7,Q3JY79
P49841,P04425
P19821,Q00987
P00523,P09850
P25321,Q9HBL8
Q6WZB0,P07649
Q8RSQ2,P07102
P00883,P0C6U8
